"id","place","weight_lbs","grower_name","city","state_prov","country","gpc_site","seed_mother","pollinator_father","ott","est_weight","pct_chart","variety","weight_kg","weight_class"
"2626-P",88,466.885429074056,"EUZNR","Paris","California","Australia","Regional Pumpkin Festival","1779 Z","1329 G",276,472,-7,"Big Max",211.775668469761,"medium"
"2367-P",11,459.365504722483,"MVJIC","Paris","Texas","USA","National Pumpkin Festival","1226 L","1582 B",276,455,2,"Ghost",208.36468815805,"medium"
"2908-P",47,470.237383206375,"HSQZV","New York","Florida","Australia","Regional Pumpkin Festival","1351 W","1035 R",274,437,8,"Fairytale",213.296089290046,"medium"
"2566-P",43,474.997132827528,"MYPYU","Los Angeles","Texas","USA","Local Pumpkin Festival","1737 Z","1500 Z",266,442,9,"Ghost",215.455075403122,"medium"
"2470-P",96,454.183267517015,"AFVXK","New York","New York","China","Local Pumpkin Festival","1020 G","1095 D",279,483,1,"Big Max",206.014064900148,"medium"
"2984-P",68,458.04865595419,"XYGTF","Los Angeles","New York","China","Local Pumpkin Festival","1784 X","1122 K",267,454,-2,"Fairytale",207.767375603807,"medium"
"2988-P",100,466.578626079857,"JEIHX","Paris","Florida","USA","Local Pumpkin Festival","1539 S","1063 M",263,399,18,"Big Max",211.636504972383,"medium"
"2319-P",63,468.35479216557,"XQPAI","Los Angeles","Texas","China","National Pumpkin Festival","1812 U","1337 W",281,473,1,"Ghost",212.44216035739,"medium"
"2767-P",29,446.81975768283,"PQAKJ","Chicago","California","Australia","Local Pumpkin Festival","1422 J","1002 C",264,435,8,"Fairytale",202.674033020141,"medium"
"2825-P",85,446.976450390182,"MTTXE","Paris","Texas","Australia","National Pumpkin Festival","1633 S","1776 L",275,445,-1,"Big Max",202.74510763669,"medium"
"2254-P",27,452.526695868,"BFRZD","Nottingham","Florida","USA","National Pumpkin Festival","1506 G","1789 S",275,443,5,"Ghost",205.262656639167,"medium"
"2977-P",16,442.664840151556,"BNVZR","Chicago","Florida","Australia","National Pumpkin Festival","1097 R","1093 L",276,475,-10,"Big Max",200.789394128395,"medium"
"2165-P",69,449.672324114107,"CLFGA","Chicago","Texas","China","Regional Pumpkin Festival","1930 A","1563 O",272,429,5,"Blue Doll",203.967935389371,"medium"
"2513-P",11,442.02896599751,"GVFCI","Los Angeles","New York","Australia","National Pumpkin Festival","1220 W","1054 P",251,381,11,"Ghost",200.500966463598,"medium"
"2688-P",90,436.698005973734,"TSWUV","Los Angeles","Texas","USA","Local Pumpkin Festival","1243 I","1588 Q",276,441,-1,"Fairytale",198.082883670011,"medium"
"2740-P",46,438.614694778807,"SDABY","Houston","California","USA","National Pumpkin Festival","1996 E","1875 Q",277,462,-10,"Ghost",198.952279088385,"medium"
"2284-P",56,433.470179866068,"UOOVW","New York","California","Australia","Regional Pumpkin Festival","1309 P","1169 Q",259,409,7,"Fairytale",196.618766374659,"medium"
"2491-P",70,423.803536935709,"FCCBO","Houston","New York","China","Regional Pumpkin Festival","1602 L","1284 L",246,338,29,"Ghost",192.234050894257,"medium"
"2038-P",78,417.717220418155,"FJRDP","Chicago","California","USA","Local Pumpkin Festival","1065 S","1113 H",276,461,-10,"Ghost",189.473344158174,"medium"
"2227-P",28,412.746146988124,"GYGEC","Houston","Texas","Australia","Local Pumpkin Festival","1525 K","1192 L",261,413,-1,"Ghost",187.218503177711,"medium"
"2375-P",100,418.295488705486,"RSHDD","Chicago","New York","China","National Pumpkin Festival","1899 Q","1655 K",246,347,18,"Ghost",189.73564224134,"medium"
"2590-P",39,420.823874467798,"PAQJO","Los Angeles","California","China","Local Pumpkin Festival","1966 W","1483 B",253,373,13,"Ghost",190.882498732503,"medium"
"2580-P",7,420.691104176454,"ILZET","Chicago","California","Australia","National Pumpkin Festival","1616 Z","1043 W",273,464,-9,"Ghost",190.822275141337,"medium"
"2470-P",10,419.05317746941,"TXYUS","Houston","New York","USA","National Pumpkin Festival","1025 Z","1675 B",276,456,-7,"Ghost",190.079324083779,"medium"
"2404-P",90,404.508396825753,"TDXFA","Nottingham","New York","China","Regional Pumpkin Festival","1613 X","1430 W",268,442,-11,"Big Max",183.48192255496,"medium"
"2637-P",33,403.006706879474,"AKKJE","Houston","California","Australia","Regional Pumpkin Festival","1584 I","1298 C",264,421,1,"Fairytale",182.800767452651,"medium"
"2265-P",38,420.506378818862,"RBEVC","Los Angeles","California","USA","National Pumpkin Festival","1800 D","1895 M",273,473,-17,"Big Max",190.738485128517,"medium"
"2148-P",97,410.606868299656,"HINCQ","Chicago","Texas","China","National Pumpkin Festival","1393 Z","1913 T",263,410,-3,"Fairytale",186.248142686505,"medium"
"2690-P",67,413.857848993689,"QNHPG","Houston","Texas","China","National Pumpkin Festival","1784 F","1583 R",253,391,2,"Blue Doll",187.722762725572,"medium"
"2789-P",52,415.073027427308,"ZQRRM","Nottingham","New York","China","National Pumpkin Festival","1769 L","1548 K",282,508,-19,"Ghost",188.273958391713,"medium"
"2939-P",51,406.954201108776,"DLKVB","Houston","California","USA","Regional Pumpkin Festival","1673 V","1968 L",249,336,26,"Ghost",184.591320717183,"medium"
"2150-P",77,412.267233166471,"CEUAL","New York","Texas","USA","Local Pumpkin Festival","1660 X","1259 Q",266,407,0,"Big Max",187.00127152214,"medium"
"2939-P",80,408.248851918802,"FRGQR","Chicago","Florida","Australia","National Pumpkin Festival","1010 A","1022 Y",256,372,9,"Fairytale",185.178564446917,"medium"
"2662-P",11,396.711239731871,"ZPFYQ","Houston","Texas","Australia","Regional Pumpkin Festival","1988 B","1921 R",269,421,-3,"Ghost",179.945191586518,"medium"
"2238-P",24,396.347736850381,"DLKTC","Houston","New York","USA","Local Pumpkin Festival","1006 E","1834 U",266,403,4,"Fairytale",179.780309452863,"medium"
"2584-P",29,404.762879068963,"EZSQP","New York","Texas","USA","National Pumpkin Festival","1894 E","1438 X",268,429,-11,"Big Max",183.597353758877,"medium"
"2521-P",70,405.149356493726,"UMQPP","Chicago","Florida","China","Regional Pumpkin Festival","1147 Y","1503 K",263,416,-6,"Blue Doll",183.772656970074,"medium"
"2092-P",85,398.82305213809,"VLMBD","Nottingham","California","China","Local Pumpkin Festival","1962 K","1352 I",252,360,6,"Big Max",180.903093581654,"medium"
"2445-P",59,390.815065487288,"FEWPS","Houston","Texas","USA","Local Pumpkin Festival","1801 L","1592 S",261,422,-4,"Fairytale",177.270731934742,"medium"
"2658-P",98,388.128789682873,"UADFT","Nottingham","Texas","China","Regional Pumpkin Festival","1647 P","1969 U",252,354,11,"Fairytale",176.052257725122,"medium"
"2553-P",92,376.151395246387,"LPVJH","Paris","Florida","Australia","National Pumpkin Festival","1650 I","1275 Q",266,438,-17,"Big Max",170.619402991695,"medium"
"2246-P",33,373.91098456271,"NISXY","Nottingham","California","USA","National Pumpkin Festival","1455 C","1234 L",261,380,-1,"Fairytale",169.603169799061,"medium"
"2147-P",23,367.650773081928,"BJAYY","Nottingham","Florida","USA","Regional Pumpkin Festival","1909 C","1669 Z",252,349,11,"Blue Doll",166.763585634411,"medium"
"2082-P",26,380.982600198127,"ANQUE","New York","New York","USA","National Pumpkin Festival","1299 Z","1396 G",256,400,-12,"Blue Doll",172.810800697549,"medium"
"2120-P",26,372.196135718375,"LUXDG","Nottingham","California","China","Local Pumpkin Festival","1514 G","1039 T",219,236,62,"Big Max",168.825327446915,"medium"
"2341-P",62,378.363563611545,"MIKEJ","Houston","New York","USA","National Pumpkin Festival","1273 V","1323 D",256,365,0,"Big Max",171.622825684128,"medium"
"2087-P",46,374.163585840724,"FGZLM","Paris","New York","USA","National Pumpkin Festival","1607 W","1457 F",260,385,-9,"Fairytale",169.717747811516,"medium"
"2621-P",49,368.903436473571,"WFMWX","Los Angeles","Florida","China","National Pumpkin Festival","1887 Q","1078 V",257,385,-1,"Ghost",167.331784191514,"medium"
"2060-P",42,365.67295529414,"VTEDZ","Chicago","New York","China","National Pumpkin Festival","1935 E","1682 E",267,437,-12,"Big Max",165.866462575867,"medium"
"2200-P",25,371.47968879994,"XUMDH","Paris","California","USA","Regional Pumpkin Festival","1821 E","1443 W",266,419,-8,"Blue Doll",168.50035259093,"medium"
"2988-P",40,372.477210874669,"IKDXO","Houston","California","Australia","National Pumpkin Festival","1899 O","1842 T",255,362,-5,"Ghost",168.952820993313,"medium"
"2485-P",40,366.936599585228,"DJWYD","Nottingham","California","China","National Pumpkin Festival","1403 C","1175 Y",254,369,2,"Fairytale",166.439641985179,"medium"
"2384-P",6,356.120247865282,"WQHJE","Houston","New York","Australia","Local Pumpkin Festival","1196 M","1158 Y",243,329,12,"Big Max",161.533427369661,"medium"
"2892-P",63,363.428238094784,"KPFNS","Los Angeles","Florida","China","National Pumpkin Festival","1266 I","1119 P",261,414,-14,"Ghost",164.848275980578,"medium"
"2771-P",15,352.791006988846,"NJSDH","Chicago","Texas","USA","National Pumpkin Festival","1388 A","1615 F",245,357,4,"Fairytale",160.023309108951,"medium"
"2376-P",18,361.836255582049,"UDOFK","New York","New York","China","National Pumpkin Festival","1549 L","1463 P",251,354,5,"Big Max",164.126164859022,"medium"
"2542-P",38,359.50869578775,"EPIGF","Los Angeles","Florida","China","National Pumpkin Festival","1533 B","1975 K",250,365,4,"Big Max",163.070401494724,"medium"
"2400-P",8,350.026528877206,"VRIRU","Houston","California","USA","Regional Pumpkin Festival","1492 B","1751 A",250,377,-1,"Big Max",158.769362929428,"medium"
"2942-P",56,360.851107961498,"QBAUY","Nottingham","California","Australia","Local Pumpkin Festival","1347 L","1406 S",253,365,1,"Fairytale",163.679309414642,"medium"
"2704-P",64,362.291851279326,"BSGWK","New York","New York","Australia","National Pumpkin Festival","1661 J","1566 U",258,383,-7,"Big Max",164.332819591285,"medium"
"2006-P",53,353.727269066498,"CJTBY","Los Angeles","Florida","USA","Local Pumpkin Festival","1626 J","1493 J",254,389,-12,"Big Max",160.447990444051,"medium"
"2504-P",100,368.076774655841,"SDYVV","Los Angeles","California","Australia","Local Pumpkin Festival","1324 R","1301 C",254,391,-6,"Ghost",166.956816698107,"medium"
"2159-P",42,359.92351521831,"THAGK","Houston","Texas","Australia","Regional Pumpkin Festival","1755 O","1233 Z",252,376,-5,"Fairytale",163.258560423511,"medium"
"2637-P",78,353.473660454154,"YBHKU","Nottingham","Florida","Australia","Local Pumpkin Festival","1131 G","1284 M",253,355,-2,"Fairytale",160.332955512429,"medium"
"2186-P",41,364.376696537249,"CHMSM","Nottingham","California","USA","Local Pumpkin Festival","1243 W","1943 T",262,392,-13,"Fairytale",165.278489493702,"medium"
"2055-P",21,361.727549396455,"XMMXQ","New York","California","USA","Regional Pumpkin Festival","1822 S","1873 B",251,354,0,"Big Max",164.076856562624,"medium"
"2217-P",21,361.031401243061,"PDUBU","Los Angeles","Texas","USA","Regional Pumpkin Festival","1034 C","1242 Z",252,334,4,"Big Max",163.761089071589,"medium"
"2678-P",29,358.865124525502,"HJQNT","Los Angeles","New York","Australia","Local Pumpkin Festival","1154 J","1598 G",255,362,-4,"Big Max",162.778482480372,"medium"
"2864-P",57,355.785264920443,"SPSGH","Chicago","Texas","China","Regional Pumpkin Festival","1071 R","1584 R",248,344,-1,"Fairytale",161.381481661675,"medium"
"2734-P",72,336.502867771313,"MCXQO","Los Angeles","Texas","Australia","National Pumpkin Festival","1435 L","1939 N",244,328,1,"Fairytale",152.635133432185,"medium"
"2030-P",31,341.048028134741,"BXQEU","Paris","California","Australia","Local Pumpkin Festival","1289 S","1513 I",253,367,-3,"Fairytale",154.696783495191,"medium"
"2087-P",6,338.400272071362,"EUZMJ","Paris","California","Australia","National Pumpkin Festival","1329 I","1442 C",259,398,-17,"Fairytale",153.495781546214,"medium"
"2631-P",98,334.336631073616,"TPJGJ","Houston","Florida","USA","Regional Pumpkin Festival","1452 K","1718 O",243,328,8,"Big Max",151.652544993672,"medium"
"2099-P",2,330.490521610528,"UIFAL","Paris","Texas","USA","National Pumpkin Festival","1728 S","1967 O",251,343,-5,"Ghost",149.907979085567,"medium"
"2361-P",42,338.904643899202,"QYYXE","Chicago","Texas","USA","National Pumpkin Festival","1724 V","1392 E",229,262,31,"Big Max",153.724560759157,"medium"
"2551-P",55,335.451448826119,"VRHOY","Los Angeles","New York","USA","Local Pumpkin Festival","1072 F","1217 M",236,311,11,"Ghost",152.158217820572,"medium"
"2863-P",53,325.978380883113,"ZYPSW","Houston","Texas","USA","Local Pumpkin Festival","1887 V","1007 Z",262,402,-13,"Blue Doll",147.861306477529,"medium"
"2242-P",48,340.377663888037,"ULPPS","Los Angeles","California","Australia","National Pumpkin Festival","1856 R","1126 G",249,348,2,"Fairytale",154.392711387511,"medium"
"2070-P",65,342.091096087359,"GTKNE","Los Angeles","Texas","USA","National Pumpkin Festival","1185 O","1717 Q",253,349,-4,"Fairytale",155.169911160287,"medium"
"2734-P",43,331.109396107122,"OYVTI","Houston","New York","China","National Pumpkin Festival","1741 Y","1272 S",243,319,3,"Fairytale",150.188695835445,"medium"
"2222-P",77,327.148145244457,"LJLPB","New York","New York","USA","Regional Pumpkin Festival","1180 T","1042 I",242,332,2,"Ghost",148.391902666977,"medium"
"2646-P",98,328.596927589737,"AHDFS","Houston","New York","USA","Regional Pumpkin Festival","1098 M","1744 G",231,263,23,"Blue Doll",149.049059285138,"medium"
"2444-P",99,330.683840276301,"WYBYB","Nottingham","California","USA","Regional Pumpkin Festival","1715 P","1701 I",256,364,-8,"Blue Doll",149.995666957414,"medium"
"2078-P",51,324.464309351519,"FNCEX","Los Angeles","Texas","USA","Regional Pumpkin Festival","1812 Z","1886 O",238,322,2,"Ghost",147.174535182588,"medium"
"2796-P",49,325.794329336844,"OWKZA","New York","Florida","USA","Regional Pumpkin Festival","1607 L","1989 R",239,307,-1,"Fairytale",147.777822100385,"medium"
"2689-P",41,325.979198034853,"ZCIZY","Nottingham","California","USA","Regional Pumpkin Festival","1529 E","1302 O",236,316,-3,"Fairytale",147.861677131324,"medium"
"2453-P",24,297.984057057649,"PXAIU","New York","California","USA","National Pumpkin Festival","1374 E","1103 D",239,295,4,"Ghost",135.163294776341,"medium"
"2434-P",84,301.443889565393,"BEZLQ","Nottingham","Texas","Australia","National Pumpkin Festival","1142 H","1271 F",237,293,2,"Fairytale",136.732648404648,"medium"
"2912-P",93,309.262127007544,"HOGAY","Los Angeles","California","China","Local Pumpkin Festival","1440 S","1762 Y",238,295,1,"Blue Doll",140.27894125823,"medium"
"2360-P",51,298.558586034924,"VVPDS","New York","New York","China","Regional Pumpkin Festival","1033 F","1455 K",245,346,-10,"Ghost",135.423896736995,"medium"
"2088-P",69,301.716442262568,"WBHHJ","New York","California","China","National Pumpkin Festival","1518 E","1013 A",232,282,8,"Ghost",136.856276228613,"medium"
"2936-P",95,306.990451749414,"IXGDI","Chicago","Texas","USA","Local Pumpkin Festival","1733 B","1841 C",234,305,-1,"Big Max",139.24852669316,"medium"
"2744-P",19,303.624957808293,"SYNBT","Los Angeles","New York","China","National Pumpkin Festival","1367 L","1267 V",231,274,11,"Blue Doll",137.721964318906,"medium"
"2150-P",8,301.938518962823,"ZJNCO","Houston","Texas","Australia","National Pumpkin Festival","1666 H","1452 K",236,313,0,"Big Max",136.957008525488,"medium"
"2282-P",60,283.001699754596,"DEKIC","Paris","New York","China","Local Pumpkin Festival","1722 T","1666 K",242,302,-6,"Ghost",128.367411813363,"medium"
"2924-P",50,276.800111252815,"HJTKM","Paris","New York","USA","Local Pumpkin Festival","1561 X","1156 T",238,304,-5,"Blue Doll",125.554418584717,"medium"
"2790-P",48,277.612862820737,"BCWKW","Chicago","New York","Australia","Local Pumpkin Festival","1413 K","1346 Z",233,302,-9,"Blue Doll",125.923076494941,"medium"
"2026-P",38,273.66641062405,"VLMOL","Paris","Texas","USA","National Pumpkin Festival","1131 C","1173 G",230,286,0,"Blue Doll",124.132995888453,"medium"
"2146-P",15,287.701110001653,"KIQRP","New York","Texas","China","Local Pumpkin Festival","1058 P","1321 M",239,292,-1,"Fairytale",130.499028446716,"medium"
"2191-P",26,274.387286269479,"GTCDX","New York","California","China","National Pumpkin Festival","1173 T","1596 G",220,247,14,"Ghost",124.459979581212,"medium"
"2076-P",87,270.260427379422,"YVRDE","Paris","California","Australia","National Pumpkin Festival","1611 R","1216 K",234,309,-5,"Big Max",122.588067875046,"medium"
"2937-P",62,282.736223291606,"HDNPC","New York","Texas","China","Regional Pumpkin Festival","1502 P","1485 T",228,265,8,"Ghost",128.246993715235,"medium"
"2328-P",60,276.435468322597,"NTBWC","Los Angeles","California","Australia","Regional Pumpkin Festival","1344 S","1651 L",233,276,-8,"Ghost",125.389019333657,"medium"
"2346-P",44,278.638804628514,"AMEJM","Paris","Texas","Australia","Local Pumpkin Festival","1740 I","1775 D",225,273,-5,"Ghost",126.388435871403,"medium"
"2348-P",12,265.045845698565,"VNWSU","New York","Texas","Australia","Regional Pumpkin Festival","1486 H","1256 C",220,234,23,"Blue Doll",120.222773409884,"medium"
"2128-P",41,264.456914487295,"ZTSJK","Chicago","Florida","Australia","Local Pumpkin Festival","1274 T","1177 E",225,263,-3,"Ghost",119.955638705773,"medium"
"2714-P",65,262.378205814399,"KSIBA","Nottingham","New York","USA","National Pumpkin Festival","1070 O","1330 J",224,249,5,"Fairytale",119.012752311504,"medium"
"2195-P",56,254.114314841479,"OKDTJ","Chicago","New York","Australia","National Pumpkin Festival","1789 V","1954 X",233,283,-9,"Big Max",115.264314416532,"medium"
"2687-P",17,268.7622299999,"UKAFX","Chicago","Florida","China","National Pumpkin Festival","1652 V","1409 A",227,271,0,"Big Max",121.908496974371,"medium"
"2083-P",99,253.721964932047,"KJRQR","New York","New York","Australia","Regional Pumpkin Festival","1489 V","1861 E",218,249,-1,"Blue Doll",115.086347491094,"medium"
"2402-P",68,253.794362124056,"ZSTGI","Chicago","New York","China","National Pumpkin Festival","1864 D","1653 V",229,260,-7,"Fairytale",115.119186305027,"medium"
"2729-P",70,242.769408467226,"EOFUB","Chicago","Texas","Australia","National Pumpkin Festival","1191 Y","1061 P",208,223,17,"Fairytale",110.118351442491,"medium"
"2675-P",3,251.151871811599,"GVNXL","Los Angeles","California","China","Local Pumpkin Festival","1538 A","1673 A",309,646,-64,"Big Max",113.920572860492,"medium"
"2179-P",37,253.277146871202,"GYPDD","Chicago","New York","USA","Local Pumpkin Festival","1253 O","1349 A",223,265,-14,"Blue Doll",114.884581412488,"medium"
"2211-P",64,237.535192594863,"SOKNU","Houston","Texas","USA","Local Pumpkin Festival","1199 J","1907 W",218,247,-2,"Big Max",107.744151057864,"medium"
"2108-P",86,238.50118409656,"DWLLL","Los Angeles","New York","China","National Pumpkin Festival","1820 R","1369 S",197,171,36,"Blue Doll",108.182317432886,"medium"
"2591-P",85,230.355564994551,"NNJZJ","Los Angeles","California","USA","Regional Pumpkin Festival","1224 G","1255 M",215,247,-2,"Big Max",104.48752675619,"medium"
"2104-P",49,243.309464853629,"DKZIN","Paris","California","USA","National Pumpkin Festival","1566 D","1367 I",212,212,5,"Ghost",110.363316898939,"medium"
"2739-P",10,236.090027082711,"QEWDL","Nottingham","New York","Australia","Regional Pumpkin Festival","1892 Q","1032 N",215,232,0,"Ghost",107.088635007615,"medium"
"2381-P",27,237.579560173675,"GAGJM","New York","California","USA","National Pumpkin Festival","1151 Y","1124 R",224,271,-13,"Ghost",107.764275853105,"medium"
"2793-P",98,227.398944239132,"NLZHU","Nottingham","Texas","Australia","Local Pumpkin Festival","1331 H","1099 R",203,206,18,"Ghost",103.146426139423,"medium"
"2893-P",57,223.021814152971,"JDDNP","Chicago","California","Australia","Regional Pumpkin Festival","1028 U","1072 P",238,303,-26,"Big Max",101.160993328178,"medium"
"2656-P",71,232.243779095635,"VEVPE","Chicago","California","USA","National Pumpkin Festival","1962 V","1988 D",217,245,-5,"Ghost",105.344006266086,"medium"
"2817-P",32,216.010752738453,"JMBNU","Nottingham","California","Australia","Regional Pumpkin Festival","1937 B","1733 M",218,228,3,"Blue Doll",97.9808293622849,"light"
"2782-P",52,231.605698558502,"WKMDD","Paris","California","USA","National Pumpkin Festival","1646 S","1257 K",228,289,-19,"Fairytale",105.054577802754,"medium"
"2377-P",46,224.224542272277,"XRQXF","Los Angeles","New York","USA","National Pumpkin Festival","1234 N","1599 U",208,214,7,"Big Max",101.706541626738,"medium"
"2925-P",14,221.064065318182,"MIMPZ","New York","New York","Australia","Local Pumpkin Festival","1228 U","1176 O",213,205,6,"Fairytale",100.272973393597,"medium"
"2181-P",15,231.744440088049,"ZEEPS","Houston","Texas","USA","National Pumpkin Festival","1681 R","1286 Q",213,221,-2,"Ghost",105.117509902012,"medium"
"2931-P",12,222.822969168425,"HRKIH","Houston","New York","USA","Local Pumpkin Festival","1805 B","1566 Z",212,225,-1,"Big Max",101.0707987603,"medium"
"2910-P",8,218.88074226398,"NBCED","Nottingham","California","China","National Pumpkin Festival","1550 C","1845 X",197,181,10,"Blue Doll",99.2826347141354,"light"
"2959-P",21,215.853868325241,"WPFKM","Chicago","Florida","USA","Regional Pumpkin Festival","1783 B","1235 I",209,209,-1,"Big Max",97.9096677894201,"light"
"2873-P",41,206.670373409986,"SPXKZ","Houston","Texas","Australia","Local Pumpkin Festival","1362 E","1138 Y",196,186,17,"Ghost",93.7441045624337,"light"
"2235-P",13,211.94748448208,"HQLJQ","Chicago","Florida","Australia","Local Pumpkin Festival","1614 K","1552 M",207,195,4,"Big Max",96.137761882385,"light"
"2402-P",77,208.496711470187,"KKSEJ","Chicago","New York","Australia","National Pumpkin Festival","1835 R","1042 Y",201,192,4,"Big Max",94.5725175722758,"light"
"2236-P",49,201.396631060913,"RQNNG","Nottingham","Texas","China","Local Pumpkin Festival","1904 I","1483 E",204,199,1,"Ghost",91.3519752695421,"light"
"2542-P",92,190.245168629102,"RRSTA","Los Angeles","Texas","Australia","Regional Pumpkin Festival","1935 W","1004 G",203,192,-1,"Blue Doll",86.2937569918894,"light"
"2785-P",80,187.669848314486,"ALRSC","New York","New York","USA","Local Pumpkin Festival","1376 F","1707 H",207,200,-4,"Blue Doll",85.125611345894,"light"
"2417-P",46,191.489717948064,"XUVJI","Nottingham","California","USA","National Pumpkin Festival","1828 T","1603 Y",209,205,-8,"Fairytale",86.8582750675325,"light"
"2265-P",8,195.197121102363,"MDSQW","Nottingham","California","USA","Regional Pumpkin Festival","1724 Y","1931 G",200,180,4,"Big Max",88.5399248522465,"light"
"2854-P",95,184.230518235825,"WWIGP","Paris","California","Australia","National Pumpkin Festival","1868 R","1442 V",160,102,80,"Fairytale",83.5655574629934,"light"
"2380-P",68,181.059657904319,"KFOFQ","Houston","Texas","USA","Regional Pumpkin Festival","1677 D","1970 K",209,217,-15,"Ghost",82.1272794090807,"light"
"2701-P",11,175.306667931378,"RPMIK","Houston","New York","China","Regional Pumpkin Festival","1885 M","1979 V",184,150,19,"Blue Doll",79.5177670504795,"light"
"2357-P",80,183.992613517679,"JUVCS","Houston","New York","Australia","Local Pumpkin Festival","1791 D","1717 H",197,176,8,"Big Max",83.457645697965,"light"
"2886-P",19,177.616203275509,"IPLDH","Paris","California","China","Local Pumpkin Festival","1765 Q","1202 O",195,180,-6,"Ghost",80.5653546617013,"light"
"2810-P",24,185.517703991383,"KVZHG","Los Angeles","California","USA","Regional Pumpkin Festival","1472 E","1789 H",206,191,-6,"Big Max",84.1494151009769,"light"
"2602-P",91,169.176938232034,"JEFCR","Paris","Florida","Australia","National Pumpkin Festival","1797 A","1513 Z",195,173,0,"Big Max",76.7373684263634,"light"
"2694-P",28,172.463491810486,"PWGVO","New York","New York","USA","Regional Pumpkin Festival","1843 B","1010 B",181,145,17,"Big Max",78.2281240543952,"light"
"2466-P",1,172.501839378849,"LDJZV","Chicago","Florida","USA","Local Pumpkin Festival","1664 S","1282 B",197,174,1,"Big Max",78.2455182188273,"light"
"2454-P",88,176.36450827308,"ICGZT","New York","California","USA","Local Pumpkin Festival","1116 B","1768 S",185,153,8,"Big Max",79.9975953585562,"light"
"2753-P",29,166.887487972155,"BXKDE","New York","Florida","USA","Regional Pumpkin Festival","1073 E","1904 R",198,184,-13,"Blue Doll",75.6988912561168,"light"
"2916-P",67,160.101309822686,"YVZEP","Houston","Florida","China","National Pumpkin Festival","1603 V","1495 N",188,167,1,"Ghost",72.6207326234755,"light"
"2627-P",90,161.6923894668,"SCDIN","Los Angeles","New York","USA","Regional Pumpkin Festival","1446 P","1339 I",190,154,2,"Fairytale",73.342434210713,"light"
"2477-P",12,158.837214277126,"JOZYU","Chicago","New York","Australia","Regional Pumpkin Festival","1932 F","1049 C",196,183,-15,"Big Max",72.0473485285776,"light"
"2135-P",8,156.202538781799,"BROTL","Los Angeles","New York","Australia","Regional Pumpkin Festival","1144 Z","1356 Z",198,183,-15,"Fairytale",70.8522798254694,"light"
"2793-P",55,148.625621360354,"XKZOG","Chicago","California","China","Regional Pumpkin Festival","1974 Z","1518 D",187,151,1,"Ghost",67.4154478920996,"light"
"2564-P",39,148.782200142555,"EUNUU","Nottingham","Florida","Australia","National Pumpkin Festival","1321 M","1399 P",189,150,1,"Big Max",67.4864708330693,"light"
"2805-P",67,146.570703391917,"VALKW","Nottingham","California","China","National Pumpkin Festival","1739 X","1928 I",182,150,-6,"Ghost",66.483352779859,"light"
"2652-P",58,143.920676773414,"USBOY","Nottingham","Texas","USA","Regional Pumpkin Festival","1026 A","1296 B",191,150,-6,"Blue Doll",65.2813209244011,"light"
"2010-P",2,137.708604305983,"ROZPP","Chicago","New York","China","National Pumpkin Festival","1176 Z","1639 F",188,150,0,"Big Max",62.4635722489242,"light"
"2008-P",43,142.062270275317,"JZRWX","Houston","Florida","Australia","National Pumpkin Festival","1519 S","1905 N",183,159,-7,"Big Max",64.4383619157991,"light"
"2034-P",10,140.616294460185,"BNGZL","Chicago","Texas","China","National Pumpkin Festival","1318 L","1669 I",169,113,29,"Ghost",63.7824783183005,"light"
"2125-P",45,140.216418169253,"ZNOJD","Paris","Texas","Australia","Local Pumpkin Festival","1387 G","1440 A",178,132,1,"Fairytale",63.6010974836376,"light"
"2879-P",20,133.301991743967,"NEFZQ","Chicago","Florida","Australia","National Pumpkin Festival","1727 H","1299 K",178,145,1,"Blue Doll",60.4647664115716,"light"
"2521-P",89,138.770450660028,"MYYZF","Nottingham","Texas","USA","Local Pumpkin Festival","1036 F","1359 U",186,155,-14,"Fairytale",62.9452176536352,"light"
"2196-P",13,134.943537776358,"ZFNRZ","Paris","New York","China","National Pumpkin Festival","1328 K","1435 T",183,153,-12,"Fairytale",61.2093591674925,"light"
"2710-P",52,138.368206910789,"KJACW","Chicago","California","USA","National Pumpkin Festival","1639 L","1710 M",182,153,-12,"Fairytale",62.7627629579474,"light"
"2106-P",90,131.882699812762,"WTOIF","Los Angeles","California","Australia","National Pumpkin Festival","1978 Y","1598 R",170,109,10,"Blue Doll",59.8209864202348,"light"
"2885-P",86,129.994948190637,"JJDCV","Chicago","California","Australia","Local Pumpkin Festival","1096 W","1015 Z",170,129,-3,"Blue Doll",58.9647166872655,"light"
"2547-P",91,125.237225247547,"NDGXO","Houston","New York","China","Local Pumpkin Festival","1530 D","1518 P",175,119,5,"Big Max",56.8066498598962,"light"
"2310-P",34,125.274267685227,"TKCOW","Chicago","Texas","Australia","Local Pumpkin Festival","1105 U","1357 N",185,154,-16,"Blue Doll",56.8234520270082,"light"
"2333-P",71,112.445300924592,"OGSKJ","New York","Florida","China","Regional Pumpkin Festival","1156 J","1184 F",168,128,-11,"Blue Doll",51.0043305845205,"light"
"2455-P",33,105.113794355653,"HCWFZ","Houston","Texas","USA","Regional Pumpkin Festival","1073 P","1507 U",177,125,-11,"Fairytale",47.6788151414564,"light"
"2685-P",37,106.153430594131,"QHRKO","Houston","Florida","USA","Regional Pumpkin Festival","1670 B","1424 B",170,124,-15,"Ghost",48.150386207201,"light"
